gx, gy, speedX, speedY, speedZ
-13.00, 11.00, 0.77, -0.18, -0.59
-13.00, 13.00, 0.81, -0.22, -0.59
-13.00, 15.00, 0.85, -0.25, -0.59
-13.00, 17.00, 0.88, -0.29, -0.59
-13.00, 19.00, 0.91, -0.32, -0.59
-13.00, 21.00, 0.93, -0.34, -0.59
-13.00, 23.00, 0.93, -0.34, -0.59
-11.00, -25.00, -0.36, 0.91, -0.54
-11.00, -23.00, -0.36, 0.91, -0.54
-11.00, -21.00, -0.36, 0.91, -0.54
-11.00, -19.00, -0.35, 0.89, -0.54
-11.00, -17.00, -0.31, 0.86, -0.54
-11.00, -15.00, -0.28, 0.82, -0.54
-11.00, -13.00, -0.24, 0.78, -0.54
-11.00, -11.00, -0.20, 0.74, -0.54
-11.00, -9.00, -0.15, 0.70, -0.54
-11.00, -7.00, -0.10, 0.65, -0.54
-11.00, -5.00, -0.05, 0.59, -0.54
-11.00, -3.00, 0.03, 0.52, -0.54
-11.00, -1.00, 0.13, 0.41, -0.54
-11.00, 1.00, 0.41, 0.13, -0.54
-11.00, 3.00, 0.52, 0.03, -0.54
-11.00, 5.00, 0.59, -0.05, -0.54
-11.00, 7.00, 0.65, -0.10, -0.54
-11.00, 9.00, 0.70, -0.15, -0.54
-11.00, 11.00, 0.74, -0.20, -0.54
-11.00, 13.00, 0.78, -0.24, -0.54
-11.00, 15.00, 0.82, -0.28, -0.54
-11.00, 17.00, 0.86, -0.31, -0.54
-11.00, 19.00, 0.89, -0.35, -0.54
-11.00, 21.00, 0.91, -0.36, -0.54
-11.00, 23.00, 0.91, -0.36, -0.54
-9.00, -25.00, -0.39, 0.88, -0.49
-9.00, -23.00, -0.39, 0.88, -0.49
-9.00, -21.00, -0.39, 0.88, -0.49
-9.00, -19.00, -0.37, 0.86, -0.49
-9.00, -17.00, -0.34, 0.83, -0.49
-9.00, -15.00, -0.30, 0.80, -0.49
-9.00, -13.00, -0.27, 0.76, -0.49
-9.00, -11.00, -0.23, 0.72, -0.49
-9.00, -9.00, -0.18, 0.67, -0.49
-9.00, -7.00, -0.13, 0.62, -0.49
-9.00, -5.00, -0.07, 0.56, -0.49
-9.00, -3.00, -0.00, 0.49, -0.49
-9.00, -1.00, 0.10, 0.39, -0.49
-9.00, 1.00, 0.39, 0.10, -0.49
-9.00, 3.00, 0.49, -0.00, -0.49
-9.00, 5.00, 0.56, -0.07, -0.49
-9.00, 7.00, 0.62, -0.13, -0.49
-9.00, 9.00, 0.67, -0.18, -0.49
-9.00, 11.00, 0.72, -0.23, -0.49
-9.00, 13.00, 0.76, -0.27, -0.49
-9.00, 15.00, 0.80, -0.30, -0.49
-9.00, 17.00, 0.83, -0.34, -0.49
-9.00, 19.00, 0.86, -0.37, -0.49
-9.00, 21.00, 0.88, -0.39, -0.49
-9.00, 23.00, 0.88, -0.39, -0.49
-7.00, -25.00, -0.42, 0.85, -0.43
-7.00, -23.00, -0.42, 0.85, -0.43
-7.00, -21.00, -0.42, 0.85, -0.43
-7.00, -19.00, -0.40, 0.84, -0.43
-7.00, -17.00, -0.37, 0.80, -0.43
-7.00, -15.00, -0.33, 0.77, -0.43
-7.00, -13.00, -0.30, 0.73, -0.43
